Season,Team,Budget,position,points,Cost per Point,Cost per Position,predicted_position,predicted_points
2013-2014,Almeria,36.45,17,40,0.9112500000000001,2.144117647058824,13.0,43.36173943844514
2014-2015,Real Madrid,788.8,2,92,8.57391304347826,394.4,1.0,91.52902087201804
2014-2015,Barcelona,603.8,1,94,6.423404255319149,603.8,3.0,79.6848697917881
2014-2015,Ath Madrid,356.0,3,78,4.564102564102564,118.66666666666667,7.0,63.82010958810716
2014-2015,Valencia,230.0,4,77,2.987012987012987,57.5,10.0,55.7532823658965
2014-2015,Sevilla,166.75,5,76,2.1940789473684212,33.35,11.0,51.703863145223295
2014-2015,Ath Bilbao,112.1,7,55,2.038181818181818,16.014285714285712,12.0,48.205036893685104
2014-2015,Sociedad,96.8,12,46,2.1043478260869564,8.066666666666666,12.0,47.22549358813096
2014-2015,Espanol,75.7,10,49,1.5448979591836736,7.57,12.0,45.87462014060203
2014-2015,Villarreal,132.7,6,60,2.2116666666666664,22.116666666666664,11.0,49.52389912207828
2014-2015,Getafe,50.2,15,37,1.3567567567567569,3.3466666666666667,13.0,44.24204796467845
2014-2015,Malaga ,82.8,9,50,1.656,9.2,12.0,46.329179452329775
2014-2015,Celta,60.4,8,51,1.184313725490196,7.55,13.0,44.89507683504788
2014-2015,Granada,67.55,17,35,1.93,3.9735294117647055,12.0,45.3528372686892
2014-2015,Levante,43.45,14,37,1.1743243243243244,3.1035714285714286,13.0,43.80989650634573
2014-2015,Almeria,38.3,19,29,1.3206896551724137,2.0157894736842104,13.0,43.48018094924744
2014-2015,Cordoba,50.9,20,20,2.545,2.545,13.0,44.2868636714685
2014-2015,La Coruna,53.9,16,35,1.54,3.36875,13.0,44.478930986283046
2014-2015,Eibar,29.4,18,35,0.84,1.6333333333333333,13.0,42.91038124863097
2014-2015,Vallecano,51.7,11,49,1.0551020408163265,4.7,13.0,44.33808162208572
2014-2015,Elche,38.6,13,41,0.9414634146341464,2.9692307692307693,13.0,43.499387680728894
2015-2016,Real Madrid,726.0,2,90,8.066666666666666,363.0,1.0,87.50841174856701
2015-2016,Barcelona,714.3,1,91,7.849450549450549,714.3,1.0,86.75934922079031
2015-2016,Ath Madrid,418.5,3,88,4.755681818181818,139.5,6.0,67.82151198007674
2015-2016,Valencia,254.0,12,44,5.7727272727272725,21.166666666666668,9.0,57.28982088441282
2015-2016,Sevilla,230.3,7,52,4.428846153846154,32.9,10.0,55.77248909737796
