Season,Team,Budget,position,points,Cost per Point,Cost per Position
2012-2013,Barcelona,586.6,1,100,5.8660000000000005,586.6
2012-2013,Real Madrid,582.4,2,85,6.851764705882353,291.2
2012-2013,Ath Madrid,267.0,3,76,3.513157894736842,89.0
2012-2013,Valencia,172.9,5,65,2.66,34.58
2012-2013,Sevilla,144.8,9,50,2.8960000000000004,16.08888888888889
2012-2013,Malaga,122.9,6,57,2.1561403508771932,20.483333333333334
2012-2013,Ath Bilbao,119.85,12,45,2.663333333333333,9.987499999999999
2012-2013,Sociedad,113.0,4,66,1.7121212121212122,28.25
2012-2013,Granada,72.8,15,42,1.7333333333333332,4.8533333333333335
2012-2013,Getafe,68.3,10,47,1.4531914893617022,6.83
2012-2013,Betis,66.2,7,56,1.1821428571428572,9.457142857142857
2012-2013,Espanol,64.1,13,44,1.4568181818181818,4.93076923076923
2012-2013,Vallecano,49.75,8,53,0.9386792452830188,6.21875
2012-2013,Celta,49.1,17,37,1.327027027027027,2.888235294117647
2012-2013,Mallorca,47.1,18,36,1.3083333333333333,2.6166666666666667
2012-2013,Zaragoza,46.8,20,34,1.3764705882352941,2.34
2012-2013,Osasuna,46.4,16,39,1.1897435897435897,2.9
2012-2013,La Coruna,45.6,19,35,1.302857142857143,2.4
2012-2013,Levante,41.1,11,46,0.8934782608695653,3.7363636363636363
2012-2013,Valladolid,38.8,14,43,0.9023255813953488,2.7714285714285714
2013-2014,Real Madrid,636.8,3,87,7.319540229885057,212.26666666666665
2013-2014,Barcelona,592.2,2,87,6.806896551724138,296.1
2013-2014,Ath Madrid,308.8,1,90,3.4311111111111114,308.8
2013-2014,Valencia,178.8,8,49,3.648979591836735,22.35
2013-2014,Sevilla,141.15,5,63,2.2404761904761905,28.23
2013-2014,Sociedad,136.7,7,59,2.3169491525423727,19.52857142857143
2013-2014,Ath Bilbao,130.7,4,70,1.867142857142857,32.675
2013-2014,Villarreal,77.3,6,59,1.3101694915254236,12.883333333333333
2013-2014,Malaga,62.5,11,45,1.3888888888888888,5.681818181818182
2013-2014,Betis,58.6,20,25,2.344,2.93
2013-2014,Granada,57.48,15,41,1.401951219512195,3.832
2013-2014,Getafe,55.9,13,42,1.3309523809523809,4.3
2013-2014,Espanol,51.3,14,42,1.2214285714285713,3.664285714285714
2013-2014,Celta,49.9,9,49,1.0183673469387755,5.544444444444444
2013-2014,Vallecano,46.1,12,43,1.072093023255814,3.841666666666667
2013-2014,Elche,44.6,16,40,1.115,2.7875
2013-2014,Levante,42.4,10,48,0.8833333333333333,4.24
2013-2014,Osasuna,42.3,18,39,1.0846153846153845,2.3499999999999996
2013-2014,Valladolid,41.2,19,36,1.1444444444444446,2.168421052631579
2013-2014,Almeria,36.45,17,40,0.9112500000000001,2.144117647058824
2014-2015,Real Madrid,788.8,2,92,8.57391304347826,394.4
2014-2015,Barcelona,603.8,1,94,6.423404255319149,603.8
2014-2015,Ath Madrid,356.0,3,78,4.564102564102564,118.66666666666667
2014-2015,Valencia,230.0,4,77,2.987012987012987,57.5
2014-2015,Sevilla,166.75,5,76,2.1940789473684212,33.35
2014-2015,Ath Bilbao,112.1,7,55,2.038181818181818,16.014285714285712
2014-2015,Sociedad,96.8,12,46,2.1043478260869564,8.066666666666666
2014-2015,Espanol,75.7,10,49,1.5448979591836736,7.57
2014-2015,Villarreal,132.7,6,60,2.2116666666666664,22.116666666666664
2014-2015,Getafe,50.2,15,37,1.3567567567567569,3.3466666666666667
2014-2015,Malaga ,82.8,9,50,1.656,9.2
2014-2015,Celta,60.4,8,51,1.184313725490196,7.55
2014-2015,Granada,67.55,17,35,1.93,3.9735294117647055
2014-2015,Levante,43.45,14,37,1.1743243243243244,3.1035714285714286
2014-2015,Almeria,38.3,19,29,1.3206896551724137,2.0157894736842104
2014-2015,Cordoba,50.9,20,20,2.545,2.545
2014-2015,La Coruna,53.9,16,35,1.54,3.36875
2014-2015,Eibar,29.4,18,35,0.84,1.6333333333333333
2014-2015,Vallecano,51.7,11,49,1.0551020408163265,4.7
2014-2015,Elche,38.6,13,41,0.9414634146341464,2.9692307692307693
2015-2016,Real Madrid,726.0,2,90,8.066666666666666,363.0
2015-2016,Barcelona,714.3,1,91,7.849450549450549,714.3
2015-2016,Ath Madrid,418.5,3,88,4.755681818181818,139.5
2015-2016,Valencia,254.0,12,44,5.7727272727272725,21.166666666666668
2015-2016,Sevilla,230.3,7,52,4.428846153846154,32.9
2015-2016,Villarreal,140.6,4,64,2.196875,35.15
2015-2016,Sociedad,119.4,9,48,2.4875000000000003,13.266666666666667
2015-2016,Ath Bilbao,148.0,5,62,2.3870967741935485,29.6
2015-2016,Betis,56.4,10,45,1.2533333333333334,5.64
2015-2016,Espanol,62.2,13,43,1.4465116279069767,4.7846153846153845
2015-2016,Malaga,77.95,8,48,1.6239583333333334,9.74375
2015-2016,Levante,53.1,20,32,1.659375,2.6550000000000002
2015-2016,Granada,71.5,16,39,1.8333333333333333,4.46875
2015-2016,Celta,91.1,6,60,1.5183333333333333,15.183333333333332
2015-2016,Vallecano,49.6,18,38,1.305263157894737,2.7555555555555555
2015-2016,Getafe,49.1,19,36,1.363888888888889,2.5842105263157897
2015-2016,Eibar,56.6,14,43,1.3162790697674418,4.042857142857143
2015-2016,Las Palmas,32.2,11,44,0.7318181818181819,2.9272727272727277
2015-2016,La Coruna,61.75,15,42,1.4702380952380953,4.116666666666666
2015-2016,Sp Gijon,53.2,17,39,1.3641025641025641,3.1294117647058823
2016-2017,Real Madrid,802.9,1,93,8.633333333333333,802.9
2016-2017,Barcelona,765.3,2,90,8.503333333333332,382.65
2016-2017,Ath Madrid,515.8,3,78,6.612820512820512,171.9333333333333
2016-2017,Sevilla,270.1,4,72,3.751388888888889,67.525
2016-2017,Villarreal,190.7,5,67,2.846268656716418,38.14
2016-2017,Sociedad,156.45,6,64,2.44453125,26.075
2016-2017,Ath Bilbao,172.6,7,63,2.7396825396825397,24.657142857142855
2016-2017,Espanol,80.8,8,56,1.4428571428571428,10.1
2016-2017,Alaves,85.4,9,55,1.5527272727272727,9.488888888888889
2016-2017,Eibar,67.95,10,54,1.2583333333333333,6.795
2016-2017,Malaga ,84.3,11,46,1.8326086956521739,7.663636363636363
